,subject_id,condition,text,referents,prompt,relation,connective,itemID,stimulusID,annotated_nm,response,pronominalization,Annotator1
114,11378978,LIST2,"Mr. Brady was quickly on the phone with Mr. Mullins, who in turn was talking with the chairmen of the New York and Chicago exchanges. So","[""Mr. Brady"",""Mr. Mullins""]",bare,Result,varied,5,23,0,he forgot his keys.,pro,T
5442,13824290,LIST6,Peter criticized Jeffery for saying these things. So,"[""Peter"",""Jeffery""]",bare,Result,varied,26,47,1,Jeffery didn’t like him,non_pro,T
2544,11861189,LIST6,William was afraid and refused to kill Saul. So,"[""William"",""Saul""]",bare,Result,original,30,78,0,he ran away.,pro,T
2158,4640906,LIST3,"Adam refused to stop chasing Leo. Shortly afterwards,","[""Adam"",""Leo""]",bare,Narration,varied,11,157,1,Leo turned on Adam and insisted he stop.,non_pro,T
1434,4487598,LIST1,David had just let Leo leave in peace. But,"[""David"",""Leo""]",bare,Contrast,varied,14,94,0,he would be back.,pro,T
2370,1182632,LIST2,"And Lehia's been with her mom for two months. However,","[""Lehia"",""her mom""]",bare,Contrast,varied,12,141,0,she must leave soon.,pro,T
5714,16035662,LIST1,David had just let Leo leave in peace. But,"[""David"",""Leo""]",bare,Contrast,varied,14,94,0,he quickly changed his mind.,pro,T
1920,1921090,LIST6,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. Therefore,","[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",bare,Result,varied,2,6,0,he was the winner.,pro,T
2444,11319780,LIST6,"Jose gave the silver and the gold to Peter. After that,","[""Jose"",""Peter""]",bare,Narration,varied,24,62,0,he gave the bronze to Joe.,pro,T
5336,5139145,LIST4,Jose gave the silver and the gold to Peter. So,"[""Jose"",""Pater""]",bare,Result,varied,24,107,1,Peter put it in the safe.,non_pro,T
4856,11803982,LIST5,Joseph served Nicolas for three years. But,"[""Joseph"",""Nicolas""]",bare,Contrast,varied,6,51,1,"when Nicholas retired, Joseph had to find someone else to serve.",non_pro,T
2546,11861189,LIST6,"Fortunately President Hu Jintao was magnanimous enough not to take it to heart, and gave Canadian Prime Minister Stephen Harper the honor of a 15-minute meeting. So","[""President Hu Jintao"",""Canadian Prime Minister Stephen Harper""]",bare,Result,varied,18,42,1,he planned important questions to ask.,pro,T
5140,10526983,LIST4,Jose gave the silver and the gold to Peter. So,"[""Jose"",""Peter""]",bare,Result,varied,24,107,1,now Peter was a rich man.,non_pro,T
170,315014,LIST2,John felt sorry for the man. So,"[""John"",""the man""]",bare,Result,original,22,167,0,he gave his some cash.,pro,T
2704,15025033,LIST2,"Peter criticized Jeffery for saying these things. After that,","[""Peter"",""Jeffery""]",bare,Narration,varied,26,115,1,Jeffery apologised.,non_pro,T
2960,10798364,LIST2,Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. Two kilometers later,"[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",bare,Narration,original,2,7,0,he crashed and gave up first place.,pro,T
4376,1286318,LIST1,"In 1975, Mr. Pamplin enticed Mr. Hahn into joining the company as executive vice president in charge of chemicals; the move befuddled many in Georgia-Pacific who didn't believe a university administrator could make the transition to the corporate world. After that,","[""Mr. Pamplin"",""Mr. Hahn""]",bare,Narration,varied,20,37,1,Mr Hahn always felt like he had something to prove.,non_pro,T
2976,11623492,LIST4,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. However,","[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",bare,Contrast,varied,2,9,1,Kriner is determined to come back stronger next time,non_pro,T
3972,9144868,LIST1,Adam refused to stop chasing Leo. So,"[""Adam"",""Leo""]",bare,Result,original,11,84,1,Leo punched him in the mouth,non_pro,T
5720,16035662,LIST1,"Joseph served Nicolas for three years. Therefore,","[""Joseph"",""Nicolas""]",bare,Result,varied,6,17,0,he cannot be fired without cause.,pro,T
152,315014,LIST2,Philip went and told Andrew. Then,"[""Philip"",""Andrew""]",bare,Narration,original,3,43,0,he went home.,pro,T
962,9711183,LIST3,David had just let Leo leave in peace. So,"[""David"",""Leo""]",bare,Result,original,14,173,1,Leo started walking away,non_pro,T
4808,12497434,LIST2,"Charles got up, left everything, and followed Thomas. So","[""Charles"",""Thomas""]",bare,Result,varied,7,59,1,Thomas felt in control.,non_pro,T
846,1883200,LIST2,"And Lehia's been with her mom for two months. However,","[""Lehia"",""her mom""]",bare,Contrast,varied,12,141,0,she doesn't like him,pro,T
